ROW NUMBER=20000 (cgs units)
Nr=100
Nz=200
r[cm],z/r,z[cm],n_H[cm**-3],Tgas[K],tauv_star,tauv_zup,tauv_zdn,dtauv_z,Tdust[K]
 5.271E+11, 3.492E-01, 1.841E+11, 2.002E-50, 1.993E+03, 1.848E-62, 9.270E-64, 6.536E+04, 9.254E-64, 1.654E+03
 5.271E+11, 3.551E-01, 1.872E+11, 3.446E-53, 1.994E+03, 3.149E-65, 1.594E-66, 6.536E+04, 1.593E-66, 1.658E+03
 5.271E+11, 3.610E-01, 1.903E+11, 3.625E-56, 1.994E+03, 3.525E-68, 1.677E-69, 6.536E+04, 1.675E-69, 1.660E+03
 5.271E+11, 3.669E-01, 1.934E+11, 3.265E-59, 1.989E+03, 3.330E-71, 1.511E-72, 6.536E+04, 1.509E-72, 1.652E+03
 5.271E+11, 3.728E-01, 1.965E+11, 4.106E-62, 1.985E+03, 4.273E-74, 1.901E-75, 6.536E+04, 1.898E-75, 1.646E+03
 5.271E+11, 3.787E-01, 1.996E+11, 5.695E-65, 1.984E+03, 5.862E-77, 2.639E-78, 6.536E+04, 2.632E-78, 1.645E+03
 5.271E+11, 3.846E-01, 2.027E+11, 7.503E-68, 1.983E+03, 7.676E-80, 6.939E-81, 6.536E+04, 3.468E-81, 1.643E+03
 5.271E+11, 3.905E-01, 2.058E+11, 7.503E-68, 1.983E+03, 7.676E-80, 3.471E-81, 6.536E+04, 3.468E-81, 1.643E+03
 5.271E+11, 3.963E-01, 2.089E+11, 6.868E-71, 1.981E+03, 6.538E-83, 3.183E-84, 6.536E+04, 3.174E-84, 1.642E+03
 5.271E+11, 4.022E-01, 2.120E+11, 1.964E-73, 1.962E+03, 1.853E-85, 9.080E-87, 6.536E+04, 9.078E-87, 1.621E+03
 5.271E+11, 4.081E-01, 2.151E+11, 4.530E-77, 1.961E+03, 4.618E-89, 2.094E-90, 6.536E+04, 2.094E-90, 1.619E+03
 5.271E+11, 4.140E-01, 2.182E+11, 1.021E-80, 1.959E+03, 1.075E-92, 4.722E-94, 6.536E+04, 4.721E-94, 1.618E+03
 5.271E+11, 4.199E-01, 2.213E+11, 4.455E-85, 1.957E+03, 2.007E-96, 2.060E-98, 6.536E+04, 2.059E-98, 1.616E+03
 5.271E+11, 4.258E-01, 2.244E+11, 2.699E-88, 1.957E+03, 1.554E-99, 1.248E-101, 6.536E+04, 1.248E-101, 1.619E+03
 5.271E+11, 4.317E-01, 2.275E+11, 4.115E-93, 1.953E+03, 2.161E-104, 1.903E-106, 6.536E+04, 1.902E-106, 1.614E+03
 5.271E+11, 4.376E-01, 2.306E+11, 1.210E-96, 1.951E+03, 2.126E-108, 5.594E-110, 6.536E+04, 5.594E-110, 1.612E+03
